Sample 1, pts=512 (918B): RAP_IDR_20 (914B)
Sample 2, pts=1280 (270B): NonRAP_Trail_1 (266B)
Sample 3, pts=1024 (164B): NonRAP_Trail_1 (160B)
Sample 4, pts=768 (155B): NonRAP_Trail_0 (151B)
Sample 5, pts=2560 (280B): NonRAP_Trail_1 (276B)
Sample 6, pts=2048 (196B): NonRAP_Trail_1 (192B)
Sample 7, pts=1536 (216B): NonRAP_Trail_0 (212B)
Sample 8, pts=1792 (187B): NonRAP_Trail_0 (183B)
Sample 9, pts=2304 (194B): NonRAP_Trail_0 (190B)
Sample 10, pts=3328 (357B): NonRAP_Trail_1 (353B)
Sample 11, pts=3072 (182B): NonRAP_Trail_1 (178B)
Sample 12, pts=2816 (181B): NonRAP_Trail_0 (177B)
Sample 13, pts=4096 (262B): NonRAP_Trail_1 (258B)
Sample 14, pts=3840 (188B): NonRAP_Trail_1 (184B)
Sample 15, pts=3584 (175B): NonRAP_Trail_0 (171B)
Sample 16, pts=4608 (231B): NonRAP_Trail_1 (227B)
Sample 17, pts=4352 (180B): NonRAP_Trail_0 (176B)
Sample 18, pts=4864 (224B): NonRAP_Trail_1 (220B)
Sample 19, pts=6144 (271B): NonRAP_Trail_1 (267B)
Sample 20, pts=5632 (228B): NonRAP_Trail_1 (224B)
Sample 21, pts=5120 (204B): NonRAP_Trail_0 (200B)
Sample 22, pts=5376 (204B): NonRAP_Trail_0 (200B)
Sample 23, pts=5888 (202B): NonRAP_Trail_0 (198B)
Sample 24, pts=6656 (232B): NonRAP_Trail_1 (228B)
Sample 25, pts=6400 (195B): NonRAP_Trail_0 (191B)
Sample 26, pts=6912 (292B): NonRAP_Trail_1 (288B)
Sample 27, pts=8192 (330B): NonRAP_Trail_1 (326B)
Sample 28, pts=7680 (216B): NonRAP_Trail_1 (212B)
Sample 29, pts=7168 (218B): NonRAP_Trail_0 (214B)
Sample 30, pts=7424 (205B): NonRAP_Trail_0 (201B)
Sample 31, pts=7936 (213B): NonRAP_Trail_0 (209B)
Sample 32, pts=9472 (302B): NonRAP_Trail_1 (298B)
Sample 33, pts=8960 (206B): NonRAP_Trail_1 (202B)
Sample 34, pts=8448 (198B): NonRAP_Trail_0 (194B)
Sample 35, pts=8704 (195B): NonRAP_Trail_0 (191B)
Sample 36, pts=9216 (204B): NonRAP_Trail_0 (200B)
Sample 37, pts=10752 (332B): NonRAP_Trail_1 (328B)
Sample 38, pts=10240 (208B): NonRAP_Trail_1 (204B)
Sample 39, pts=9728 (205B): NonRAP_Trail_0 (201B)
Sample 40, pts=9984 (203B): NonRAP_Trail_0 (199B)
Sample 41, pts=10496 (209B): NonRAP_Trail_0 (205B)
Sample 42, pts=11776 (226B): NonRAP_Trail_1 (222B)
Sample 43, pts=11264 (198B): NonRAP_Trail_1 (194B)
Sample 44, pts=11008 (181B): NonRAP_Trail_0 (177B)
Sample 45, pts=11520 (191B): NonRAP_Trail_0 (187B)
Sample 46, pts=13056 (335B): NonRAP_Trail_1 (331B)
Sample 47, pts=12544 (215B): NonRAP_Trail_1 (211B)
Sample 48, pts=12032 (184B): NonRAP_Trail_0 (180B)
Sample 49, pts=12288 (201B): NonRAP_Trail_0 (197B)
Sample 50, pts=12800 (193B): NonRAP_Trail_0 (189B)
